
Time	 Variab1e1	 Variable2	 Variable3	 Variable4	 Variable5	 v6	 v7	 v8	 v9	 v10	 v11	 v12	 v13	 v14	 v15	 v16	 v17	 v18	 v19 	 		 
+0.00000000e+000 	+3.04142181e-002 	+0.00000000e+000 	+1.38380849e+000 	+0.00000000e+000 	+1.38999999e+000 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.90918652e+003 	+0.00000000e+000 	+5.60000002e-001 	+0.00000000e+000 	+7.58099976e+002 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.50000000e+001 	+0.00000000e+000 	+0.00000000e+000 	
+1.00000000e+000 	+1.96144191e-001 	+1.00000000e+000 	+7.66026180e+000 	+1.00000000e+000 	+1.38999999e+000 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+3.60721497e+002 	+1.00000000e+000 	+5.60000002e-001 	+1.00000000e+000 	+7.58879976e+002 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+1.50000000e+001 	+1.00000000e+000 	+0.00000000e+000 	
+2.00000000e+000 	+3.75599731e-001 	+2.00000000e+000 	+1.53567257e+001 	+2.00000000e+000 	+1.38999999e+000 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+2.59703418e+002 	+2.00000000e+000 	+5.60000002e-001 	+2.00000000e+000 	+7.57750000e+002 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+1.50000000e+001 	+2.00000000e+000 	+0.00000000e+000
+3.00000000e+000 	+3.04142181e-002 	+0.00000000e+000 	+1.38380849e+000 	+0.00000000e+000 	+1.38999999e+000 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.90918652e+003 	+0.00000000e+000 	+5.60000002e-001 	+0.00000000e+000 	+7.58099976e+002 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.50000000e+001 	+0.00000000e+000 	+0.00000000e+000 	
+4.00000000e+000 	+1.96144191e-001 	+1.00000000e+000 	+7.66026180e+000 	+1.00000000e+000 	+1.38999999e+000 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+3.60721497e+002 	+1.00000000e+000 	+5.60000002e-001 	+1.00000000e+000 	+7.58879976e+002 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+1.50000000e+001 	+1.00000000e+000 	+0.00000000e+000 	
+5.00000000e+000 	+3.75599731e-001 	+2.00000000e+000 	+1.53567257e+001 	+2.00000000e+000 	+1.38999999e+000 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+2.59703418e+002 	+2.00000000e+000 	+5.60000002e-001 	+2.00000000e+000 	+7.57750000e+002 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+1.50000000e+001 	+2.00000000e+000 	+0.00000000e+000
+6.00000000e+000 	+3.04142181e-002 	+0.00000000e+000 	+1.38380849e+000 	+0.00000000e+000 	+1.38999999e+000 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.90918652e+003 	+0.00000000e+000 	+5.60000002e-001 	+0.00000000e+000 	+7.58099976e+002 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.50000000e+001 	+0.00000000e+000 	+0.00000000e+000 	
+7.00000000e+000 	+1.96144191e-001 	+1.00000000e+000 	+7.66026180e+000 	+1.00000000e+000 	+1.38999999e+000 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+3.60721497e+002 	+1.00000000e+000 	+5.60000002e-001 	+1.00000000e+000 	+7.58879976e+002 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+1.50000000e+001 	+1.00000000e+000 	+0.00000000e+000 	
+8.00000000e+000 	+3.75599731e-001 	+2.00000000e+000 	+1.53567257e+001 	+2.00000000e+000 	+1.38999999e+000 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+2.59703418e+002 	+2.00000000e+000 	+5.60000002e-001 	+2.00000000e+000 	+7.57750000e+002 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+1.50000000e+001 	+2.00000000e+000 	+0.00000000e+000
+9.00000000e+000 	+3.04142181e-002 	+0.00000000e+000 	+1.38380849e+000 	+0.00000000e+000 	+1.38999999e+000 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.90918652e+003 	+0.00000000e+000 	+5.60000002e-001 	+0.00000000e+000 	+7.58099976e+002 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.50000000e+001 	+0.00000000e+000 	+0.00000000e+000 	
+10.00000000e+000 	+1.96144191e-001 	+1.00000000e+000 	+7.66026180e+000 	+1.00000000e+000 	+1.38999999e+000 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+3.60721497e+002 	+1.00000000e+000 	+5.60000002e-001 	+1.00000000e+000 	+7.58879976e+002 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+1.50000000e+001 	+1.00000000e+000 	+0.00000000e+000 	
+11.00000000e+000 	+3.75599731e-001 	+2.00000000e+000 	+1.53567257e+001 	+2.00000000e+000 	+1.38999999e+000 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+2.59703418e+002 	+2.00000000e+000 	+5.60000002e-001 	+2.00000000e+000 	+7.57750000e+002 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+1.50000000e+001 	+2.00000000e+000 	+0.00000000e+000
+12.00000000e+000 	+3.04142181e-002 	+0.00000000e+000 	+1.38380849e+000 	+0.00000000e+000 	+1.38999999e+000 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.90918652e+003 	+0.00000000e+000 	+5.60000002e-001 	+0.00000000e+000 	+7.58099976e+002 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.50000000e+001 	+0.00000000e+000 	+0.00000000e+000 	
+13.00000000e+000 	+1.96144191e-001 	+1.00000000e+000 	+7.66026180e+000 	+1.00000000e+000 	+1.38999999e+000 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+3.60721497e+002 	+1.00000000e+000 	+5.60000002e-001 	+1.00000000e+000 	+7.58879976e+002 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+1.50000000e+001 	+1.00000000e+000 	+0.00000000e+000 	
+14.00000000e+000 	+3.75599731e-001 	+2.00000000e+000 	+1.53567257e+001 	+2.00000000e+000 	+1.38999999e+000 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+2.59703418e+002 	+2.00000000e+000 	+5.60000002e-001 	+2.00000000e+000 	+7.57750000e+002 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+1.50000000e+001 	+2.00000000e+000 	+0.00000000e+000
+15.00000000e+000 	+3.04142181e-002 	+0.00000000e+000 	+1.38380849e+000 	+0.00000000e+000 	+1.38999999e+000 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.90918652e+003 	+0.00000000e+000 	+5.60000002e-001 	+0.00000000e+000 	+7.58099976e+002 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.50000000e+001 	+0.00000000e+000 	+0.00000000e+000 	
+16.00000000e+000 	+1.96144191e-001 	+1.00000000e+000 	+7.66026180e+000 	+1.00000000e+000 	+1.38999999e+000 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+3.60721497e+002 	+1.00000000e+000 	+5.60000002e-001 	+1.00000000e+000 	+7.58879976e+002 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+1.50000000e+001 	+1.00000000e+000 	+0.00000000e+000 	
+17.00000000e+000 	+3.75599731e-001 	+2.00000000e+000 	+1.53567257e+001 	+2.00000000e+000 	+1.38999999e+000 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+2.59703418e+002 	+2.00000000e+000 	+5.60000002e-001 	+2.00000000e+000 	+7.57750000e+002 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+1.50000000e+001 	+2.00000000e+000 	+0.00000000e+000
+18.00000000e+000 	+3.04142181e-002 	+0.00000000e+000 	+1.38380849e+000 	+0.00000000e+000 	+1.38999999e+000 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.90918652e+003 	+0.00000000e+000 	+5.60000002e-001 	+0.00000000e+000 	+7.58099976e+002 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.50000000e+001 	+0.00000000e+000 	+0.00000000e+000 	
+19.00000000e+000 	+1.96144191e-001 	+1.00000000e+000 	+7.66026180e+000 	+1.00000000e+000 	+1.38999999e+000 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+3.60721497e+002 	+1.00000000e+000 	+5.60000002e-001 	+1.00000000e+000 	+7.58879976e+002 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+1.50000000e+001 	+1.00000000e+000 	+0.00000000e+000 	
+20.00000000e+000 	+3.75599731e-001 	+2.00000000e+000 	+1.53567257e+001 	+2.00000000e+000 	+1.38999999e+000 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+2.59703418e+002 	+2.00000000e+000 	+5.60000002e-001 	+2.00000000e+000 	+7.57750000e+002 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+1.50000000e+001 	+2.00000000e+000 	+0.00000000e+000
+21.00000000e+000 	+3.04142181e-002 	+0.00000000e+000 	+1.38380849e+000 	+0.00000000e+000 	+1.38999999e+000 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.90918652e+003 	+0.00000000e+000 	+5.60000002e-001 	+0.00000000e+000 	+7.58099976e+002 	+0.00000000e+000 	+0.00000000e+000 	+0.00000000e+000 	+1.50000000e+001 	+0.00000000e+000 	+0.00000000e+000 	
+22.00000000e+000 	+1.96144191e-001 	+1.00000000e+000 	+7.66026180e+000 	+1.00000000e+000 	+1.38999999e+000 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+3.60721497e+002 	+1.00000000e+000 	+5.60000002e-001 	+1.00000000e+000 	+7.58879976e+002 	+1.00000000e+000 	+0.00000000e+000 	+1.00000000e+000 	+1.50000000e+001 	+1.00000000e+000 	+0.00000000e+000 	
+23.00000000e+000 	+3.75599731e-001 	+2.00000000e+000 	+1.53567257e+001 	+2.00000000e+000 	+1.38999999e+000 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+2.59703418e+002 	+2.00000000e+000 	+5.60000002e-001 	+2.00000000e+000 	+7.57750000e+002 	+2.00000000e+000 	+0.00000000e+000 	+2.00000000e+000 	+1.50000000e+001 	+2.00000000e+000 	+0.00000000e+000
